year,country,Energy type,type electricity available,total electricity available (TWh),type electricity rate(%),type emission  (Gt of CO₂eq),total emission (Gt of CO₂eq),type emission rate （%）,type Carbon Intensity (gCo2eq/kWh),
2023,United States,gas,1640,4040,40.66,0.865,1.63,52.9,526,,
2023,United States,biomass,8.98,4040,0.22,0.00257,1.63,0.16,286,,
2023,United States,oil,3.66,4040,0.09,0.00383,1.63,0.23,1048,,
2023,United States,coal,685,4040,16.95,0.719,1.63,44,1050,,
2023,United States,wind,424,4040,10.48,0.00466,1.63,0.29,11,,
2023,United States,solar,151,4040,3.73,0.00396,1.63,0.24,26,,
2023,United States,hydro,248,4040,6.12,0.00594,1.63,0.36,24,,
2023,United States,geothermal,7.32,4040,0.18,0.000797,1.63,0.05,109,,
2023,United States,nuclear,776,4040,19.2,0.00932,1.63,0.57,12,,
2023,United States,unknown,57,4040,1.41,0.0399,1.63,2.44,700,,
2023,Japan,gas,288,868,33.17,0.141,0.402,35.11,490,,
2023,Japan,biomass,17.9,868,2.06,0.00412,0.402,1.02,230,,
2023,Japan,oil,28.4,868,3.27,0.0185,0.402,4.6,650,,
2023,Japan,coal,257,868,29.65,0.211,0.402,52.52,820,,
2023,Japan,wind,6.87,868,0.79,0.0000756,0.402,0.02,11,,
2023,Japan,solar,92.6,868,10.67,0.00417,0.402,1.04,45,,
2023,Japan,hydro,65.4,868,7.53,0.00157,0.402,0.39,24,,
2023,Japan,geothermal,2.46,868,0.28,0.0000935,0.402,0.02,38,,
2023,Japan,nuclear,72,868,8.3,0.000864,0.402,0.22,12,,
2023,Japan,unknown,33.6,868,3.89,0.0236,0.402,5.88,700,,
2023,Finland,gas,1.8,84.4,2.14,0.00108,0.00749,14.37,597,,
2023,Finland,biomass,5.58,84.4,6.62,0.00128,0.00749,17.15,230,,
2023,Finland,oil,0.0092,84.4,0.01,0.00000814,0.00749,0.11,885,,
2023,Finland,coal,5.21,84.4,6.17,0.00405,0.00749,54.11,778,,
2023,Finland,wind,18.9,84.4,22.41,0.000239,0.00749,3.19,13,,
2023,Finland,solar,0.719,84.4,0.85,0.0000324,0.00749,0.43,45,,
2023,Finland,hydro,13.9,84.4,16.42,0.000148,0.00749,1.98,11,,
2023,Finland,geothermal,0,84.4,0,0,0.00749,0,38,,
2023,Finland,nuclear,27.8,84.4,32.89,0.000142,0.00749,1.9,5,,
2023,Finland,unknown,0.723,84.4,0.86,0.000506,0.00749,6.76,700,,
2023,Switzerland,gas,0,90,0,0,0.00323,0,490,,
2023,Switzerland,biomass,6.33,90,7.03,0.00145,0.00323,45.06,230,,
2023,Switzerland,oil,0,90,0,0,0.00323,0,650,,
2023,Switzerland,coal,0,90,0,0,0.00323,0,820,,
2023,Switzerland,wind,0.0868,90,0.1,9.55E-7,0.00323,0.03,11,,
2023,Switzerland,solar,4.29,90,4.76,0.000126,0.00323,3.92,30,,
2023,Switzerland,hydro,22.1,90,24.61,0.000532,0.00323,16.46,24,,
2023,Switzerland,geothermal,0,90,0,0,0.00323,0,38,,
2023,Switzerland,nuclear,23.5,90,26.12,0.000282,0.00323,8.74,12,,
2023,Switzerland,unknown,5.05,90,5.61,0.000833,0.00323,25.79,165,,
2023,Italy,gas,101,281,35.92,0.0541,0.083,65.16,536,,
2023,Italy,biomass,6.44,281,2.29,0.00148,0.083,1.78,230,,
2023,Italy,oil,1.43,281,0.51,0.00158,0.083,1.91,1105,,
2023,Italy,coal,12.1,281,4.33,0.0129,0.083,15.54,1061,,
2023,Italy,wind,23.3,281,8.3,0.000294,0.083,0.35,13,,
2023,Italy,solar,24.2,281,8.6,0.000635,0.083,0.76,26,,
2023,Italy,hydro,35.9,281,12.78,0.000384,0.083,0.46,11,,
2023,Italy,geothermal,5.35,281,1.9,0.000203,0.083,0.24,38,,
2023,Italy,nuclear,0,281,0,0,0.083,0,5,,
2023,Italy,unknown,16.3,281,5.81,0.0114,0.083,13.77,700,,
2023,Spain,gas,54.4,260,20.95,0.0283,0.0379,74.67,520,,
2023,Spain,biomass,5.28,260,2.03,0.00121,0.0379,3.21,230,,
2023,Spain,oil,0.433,260,0.17,0.000383,0.0379,1.01,885,,
2023,Spain,coal,3.94,260,1.52,0.00505,0.0379,13.34,1281,,
2023,Spain,wind,61.1,260,23.52,0.000771,0.0379,2.04,13,,
2023,Spain,solar,40.4,260,15.57,0.00107,0.0379,2.83,26,,
2023,Spain,hydro,24.2,260,9.34,0.000259,0.0379,0.69,11,,
2023,Spain,geothermal,0,260,0,0,0.0379,0,38,,
2023,Spain,nuclear,54.4,260,20.94,0.000279,0.0379,0.74,5,,
2023,Spain,unknown,0.806,260,0.31,0.000564,0.0379,1.49,700,,
2023,China,gas (thermal power),6.26574,9.45644,66.621,无,无,无,无,,
2023,China,biomass,无,9.45644,无,无,无,无,无,,
2023,China,oil (thermal power),6.26574,9.45644,66.62,无,无,无,无,,
2023,China,coal (thermal power),6.26574,9.45644,66.62,无,无,无,无,,
2023,China,wind,0.88587,9.45644,9.368,无,无,无,无,,
2023,China,solar,0.58415,9.45644,6.177,无,无,无,无,,
2023,China,hydro,1.28585,9.45644,13.598,无,无,无,无,,
2023,China,geothermal,无,9.45644,无,无,无,无,无,,
2023,China,nuclear,0.43472,9.45644,4.597,无,无,无,无,,
2023,China,unknown,无,9.45644,无,无,无,无,无,,
2023,France,gas,已有,已有,已有,已有,已有,已有,已有,,
2023,France,biomass,已有,已有,已有,已有,已有,已有,已有,,
2023,France,oil,已有,已有,已有,已有,已有,已有,已有,,
2023,France,coal,已有,已有,已有,已有,已有,已有,已有,,
2023,France,wind,已有,已有,已有,已有,已有,已有,已有,,
2023,France,solar,已有,已有,已有,已有,已有,已有,已有,,
2023,France,hydro,已有,已有,已有,已有,已有,已有,已有,,
2023,France,geothermal,已有,已有,已有,已有,已有,已有,已有,,
